type,count
EI_EXPOSE_REP2,465
EI_EXPOSE_REP,421
ES_COMPARING_STRINGS_WITH_EQ,257
CN_IDIOM_NO_SUPER_CALL,67
UCF_USELESS_CONTROL_FLOW,51
CT_CONSTRUCTOR_THROW,36
EC_UNRELATED_TYPES,30
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,29
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,25
SE_BAD_FIELD,23
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,21
DM_DEFAULT_ENCODING,19
DM_BOXED_PRIMITIVE_FOR_PARSING,15
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,13
WMI_WRONG_MAP_ITERATOR,13
UPM_UNCALLED_PRIVATE_METHOD,13
EQ_DOESNT_OVERRIDE_EQUALS,12
UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS,12
DLS_DEAD_LOCAL_STORE,10
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,8
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,8
UG_SYNC_SET_UNSYNC_GET,7
NP_LOAD_OF_KNOWN_NULL_VALUE,6
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,6
REC_CATCH_EXCEPTION,6
NP_NULL_PARAM_DEREF,5
EQ_GETCLASS_AND_CLASS_CONSTANT,4
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,4
IS2_INCONSISTENT_SYNC,4
NM_SAME_SIMPLE_NAME_AS_INTERFACE,3
SIC_INNER_SHOULD_BE_STATIC,3
HE_EQUALS_USE_HASHCODE,3
NM_CLASS_NOT_EXCEPTION,2
URF_UNREAD_FIELD,2
LI_LAZY_INIT_UPDATE_STATIC,2
UWF_UNWRITTEN_FIELD,2
VA_FORMAT_STRING_USES_NEWLINE,2
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2
RV_RETURN_VALUE_IGNORED,2
RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,2
HSM_HIDING_METHOD,1
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
DMI_RANDOM_USED_ONLY_ONCE,1
OS_OPEN_STREAM,1
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,1
DE_MIGHT_IGNORE,1
DMI_COLLECTION_OF_URLS,1
MS_MUTABLE_ARRAY,1
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,1
SE_BAD_FIELD_STORE,1
OBL_UNSATISFIED_OBLIGATION,1
SF_SWITCH_NO_DEFAULT,1
RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,1
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,1
SS_SHOULD_BE_STATIC,1
MS_SHOULD_BE_FINAL,1
MS_EXPOSE_REP,1
