type,count
EI_EXPOSE_REP,352
EI_EXPOSE_REP2,272
MS_MUTABLE_ARRAY,150
CT_CONSTRUCTOR_THROW,148
MS_SHOULD_BE_FINAL,61
HE_INHERITS_EQUALS_USE_HASHCODE,48
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,46
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,43
DM_DEFAULT_ENCODING,39
MS_PKGPROTECT,37
SF_SWITCH_NO_DEFAULT,30
ODR_OPEN_DATABASE_RESOURCE,30
OBL_UNSATISFIED_OBLIGATION,30
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,29
UCF_USELESS_CONTROL_FLOW,29
DLS_DEAD_LOCAL_STORE,18
NP_LOAD_OF_KNOWN_NULL_VALUE,17
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,17
HSM_HIDING_METHOD,16
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,14
DM_BOXED_PRIMITIVE_FOR_PARSING,12
NP_NULL_ON_SOME_PATH_EXCEPTION,11
DM_NUMBER_CTOR,11
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,10
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,10
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,8
NP_NULL_ON_SOME_PATH,8
BX_UNBOXING_IMMEDIATELY_REBOXED,8
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,8
REC_CATCH_EXCEPTION,7
RV_NEGATING_RESULT_OF_COMPARETO,7
DMI_INVOKING_TOSTRING_ON_ARRAY,6
AT_NONATOMIC_64BIT_PRIMITIVE,6
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,6
WMI_WRONG_MAP_ITERATOR,6
SIC_INNER_SHOULD_BE_STATIC,6
EQ_COMPARETO_USE_OBJECT_EQUALS,5
URF_UNREAD_FIELD,5
EQ_DOESNT_OVERRIDE_EQUALS,5
NP_NULL_PARAM_DEREF,5
RC_REF_COMPARISON,4
MS_EXPOSE_REP,4
IS2_INCONSISTENT_SYNC,4
US_USELESS_SUPPRESSION_ON_METHOD,4
NP_BOOLEAN_RETURN_NULL,3
DE_MIGHT_IGNORE,3
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,3
SF_SWITCH_FALLTHROUGH,3
UC_USELESS_CONDITION,3
DC_DOUBLECHECK,3
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,3
SBSC_USE_STRINGBUFFER_CONCATENATION,3
UL_UNRELEASED_LOCK_EXCEPTION_PATH,3
NS_DANGEROUS_NON_SHORT_CIRCUIT,2
GC_UNRELATED_TYPES,2
HE_EQUALS_USE_HASHCODE,2
RV_RETURN_VALUE_IGNORED,2
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,2
EC_ARRAY_AND_NONARRAY,2
DM_EXIT,2
NM_CLASS_NAMING_CONVENTION,2
ICAST_INT_CAST_TO_DOUBLE_PASSED_TO_CEIL,2
SING_SINGLETON_GETTER_NOT_SYNCHRONIZED,2
ES_COMPARING_STRINGS_WITH_EQ,2
CN_IDIOM_NO_SUPER_CALL,2
US_USELESS_SUPPRESSION_ON_CLASS,2
RR_NOT_CHECKED,1
SS_SHOULD_BE_STATIC,1
RV_ABSOLUTE_VALUE_OF_HASHCODE,1
SR_NOT_CHECKED,1
UC_USELESS_OBJECT,1
EC_UNRELATED_TYPES,1
UWF_UNWRITTEN_FIELD,1
REFLC_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_CLASS,1
EQ_GETCLASS_AND_CLASS_CONSTANT,1
NP_GUARANTEED_DEREF,1
HE_EQUALS_NO_HASHCODE,1
DB_DUPLICATE_BRANCHES,1
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,1
CO_COMPARETO_INCORRECT_FLOATING,1
DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD,1
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,1
SWL_SLEEP_WITH_LOCK_HELD,1
FS_BAD_DATE_FORMAT_FLAG_COMBO,1
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,1
OS_OPEN_STREAM,1
NP_UNWRITTEN_FIELD,1
MS_OOI_PKGPROTECT,1
JCIP_FIELD_ISNT_FINAL_IN_IMMUTABLE_CLASS,1
DM_BOXED_PRIMITIVE_FOR_COMPARE,1
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,1
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,1
EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS,1
SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH,1
NM_SAME_SIMPLE_NAME_AS_INTERFACE,1
ICAST_IDIV_CAST_TO_DOUBLE,1
NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE,1
MS_MUTABLE_COLLECTION,1
NP_GUARANTEED_DEREF_ON_EXCEPTION_PATH,1
