type,count
EI_EXPOSE_REP2,578
EI_EXPOSE_REP,577
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,556
CT_CONSTRUCTOR_THROW,186
AT_NONATOMIC_64BIT_PRIMITIVE,90
NM_METHOD_NAMING_CONVENTION,54
DM_DEFAULT_ENCODING,50
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,47
MS_PKGPROTECT,44
VO_VOLATILE_INCREMENT,29
DLS_DEAD_LOCAL_STORE,23
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,19
IS2_INCONSISTENT_SYNC,18
SF_SWITCH_NO_DEFAULT,17
NP_LOAD_OF_KNOWN_NULL_VALUE,15
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,10
DCN_NULLPOINTER_EXCEPTION,9
MS_MUTABLE_COLLECTION_PKGPROTECT,9
UG_SYNC_SET_UNSYNC_GET,9
MS_EXPOSE_REP,8
SS_SHOULD_BE_STATIC,8
DMI_RANDOM_USED_ONLY_ONCE,8
SE_TRANSIENT_FIELD_NOT_RESTORED,8
SF_SWITCH_FALLTHROUGH,8
DMI_COLLECTION_OF_URLS,7
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,6
MS_MUTABLE_ARRAY,6
NP_BOOLEAN_RETURN_NULL,5
REC_CATCH_EXCEPTION,4
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,4
WMI_WRONG_MAP_ITERATOR,4
DMI_BLOCKING_METHODS_ON_URL,4
URF_UNREAD_FIELD,4
HSM_HIDING_METHOD,4
EI_EXPOSE_STATIC_REP2,3
NP_NULL_PARAM_DEREF,3
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3
ES_COMPARING_PARAMETER_STRING_WITH_EQ,3
ES_COMPARING_STRINGS_WITH_EQ,3
OBL_UNSATISFIED_OBLIGATION,3
NN_NAKED_NOTIFY,3
AT_OPERATION_SEQUENCE_ON_CONCURRENT_ABSTRACTION,3
JLM_JSR166_UTILCONCURRENT_MONITORENTER,3
UL_UNRELEASED_LOCK_EXCEPTION_PATH,3
MS_OOI_PKGPROTECT,3
UC_USELESS_VOID_METHOD,3
MC_OVERRIDABLE_METHOD_CALL_IN_READ_OBJECT,3
MS_CANNOT_BE_FINAL,3
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,3
DM_STRING_CTOR,2
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,2
DM_EXIT,2
NP_NULL_ON_SOME_PATH_EXCEPTION,2
MS_SHOULD_BE_FINAL,2
HE_EQUALS_NO_HASHCODE,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,1
EQ_UNUSUAL,1
CN_IDIOM,1
NP_NULL_ON_SOME_PATH,1
SR_NOT_CHECKED,1
DM_GC,1
SWL_SLEEP_WITH_LOCK_HELD,1
HRS_REQUEST_PARAMETER_TO_HTTP_HEADER,1
SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,1
PERM_SUPER_NOT_CALLED_IN_GETPERMISSIONS,1
MSF_MUTABLE_SERVLET_FIELD,1
OS_OPEN_STREAM,1
RpC_REPEATED_CONDITIONAL_TEST,1
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD,1
IM_BAD_CHECK_FOR_ODD,1
RV_NEGATING_RESULT_OF_COMPARETO,1
BC_VACUOUS_INSTANCEOF,1
NP_NULL_ON_SOME_PATH_MIGHT_BE_INFEASIBLE,1
BC_UNCONFIRMED_CAST,1
EQ_DOESNT_OVERRIDE_EQUALS,1
NM_CLASS_NAMING_CONVENTION,1
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1
NP_NONNULL_RETURN_VIOLATION,1
EQ_COMPARETO_USE_OBJECT_EQUALS,1
NP_TOSTRING_COULD_RETURN_NULL,1
MF_CLASS_MASKS_FIELD,1
MS_FINAL_PKGPROTECT,1
UL_UNRELEASED_LOCK,1
