type,count
EI_EXPOSE_REP,601
EI_EXPOSE_REP2,581
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,524
CT_CONSTRUCTOR_THROW,193
AT_NONATOMIC_64BIT_PRIMITIVE,89
NM_METHOD_NAMING_CONVENTION,54
DM_DEFAULT_ENCODING,49
MS_PKGPROTECT,43
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,29
DLS_DEAD_LOCAL_STORE,25
SF_SWITCH_NO_DEFAULT,24
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,19
IS2_INCONSISTENT_SYNC,17
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,11
UG_SYNC_SET_UNSYNC_GET,11
MS_EXPOSE_REP,10
DCN_NULLPOINTER_EXCEPTION,10
MS_MUTABLE_COLLECTION_PKGPROTECT,9
SS_SHOULD_BE_STATIC,8
DMI_RANDOM_USED_ONLY_ONCE,8
SE_TRANSIENT_FIELD_NOT_RESTORED,8
VO_VOLATILE_INCREMENT,8
REC_CATCH_EXCEPTION,7
DMI_COLLECTION_OF_URLS,7
SF_SWITCH_FALLTHROUGH,7
ES_COMPARING_STRINGS_WITH_EQ,6
MS_MUTABLE_ARRAY,6
NP_NULL_PARAM_DEREF,5
AT_OPERATION_SEQUENCE_ON_CONCURRENT_ABSTRACTION,5
NP_BOOLEAN_RETURN_NULL,5
WMI_WRONG_MAP_ITERATOR,4
DMI_BLOCKING_METHODS_ON_URL,4
URF_UNREAD_FIELD,4
EI_EXPOSE_STATIC_REP2,3
SE_BAD_FIELD,3
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3
MS_SHOULD_BE_FINAL,3
OBL_UNSATISFIED_OBLIGATION,3
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,3
NN_NAKED_NOTIFY,3
JLM_JSR166_UTILCONCURRENT_MONITORENTER,3
MS_OOI_PKGPROTECT,3
UC_USELESS_VOID_METHOD,3
ES_COMPARING_PARAMETER_STRING_WITH_EQ,3
MS_CANNOT_BE_FINAL,3
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2
DM_GC,2
DC_PARTIALLY_CONSTRUCTED,2
DM_STRING_CTOR,2
DM_EXIT,2
NP_GUARANTEED_DEREF_ON_EXCEPTION_PATH,2
UL_UNRELEASED_LOCK_EXCEPTION_PATH,2
EQ_DOESNT_OVERRIDE_EQUALS,2
MC_OVERRIDABLE_METHOD_CALL_IN_READ_OBJECT,2
HE_EQUALS_NO_HASHCODE,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,1
EQ_UNUSUAL,1
NP_NULL_ON_SOME_PATH,1
SR_NOT_CHECKED,1
HRS_REQUEST_PARAMETER_TO_HTTP_HEADER,1
SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,1
PERM_SUPER_NOT_CALLED_IN_GETPERMISSIONS,1
MSF_MUTABLE_SERVLET_FIELD,1
SE_BAD_FIELD_STORE,1
NP_GUARANTEED_DEREF,1
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD,1
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,1
DE_MIGHT_IGNORE,1
LG_LOST_LOGGER_DUE_TO_WEAK_REFERENCE,1
IM_BAD_CHECK_FOR_ODD,1
RV_NEGATING_RESULT_OF_COMPARETO,1
BC_UNCONFIRMED_CAST,1
HSM_HIDING_METHOD,1
NM_CLASS_NAMING_CONVENTION,1
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1
NP_NONNULL_RETURN_VIOLATION,1
NP_TOSTRING_COULD_RETURN_NULL,1
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,1
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,1
MS_FINAL_PKGPROTECT,1
UL_UNRELEASED_LOCK,1
